series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import,Unnamed: 0,Type,Score,Score Rank,Popularity Rank,Air Date,Studio,Num. of episodes,Genres,Theme(s),Demographic
5680,K-On!,TV,13,0,4,0000-00-00,0000-00-00,,0,,0,On-Hold,,0,,LOW,Ainda não tive vontade de terminar,0,0,1,default,0,793.0,TV,7.85,794.0,124.0,"Apr 3, 2009 to Jun 26, 2009",['Kyoto Animation'],13.0,"['Comedy', 'Slice of Life']","['CGDCT', 'Music', 'School']",
43691,Kageki Shoujo!!,TV,13,0,13,0000-00-00,0000-00-00,,5,,0,Completed,,0,,LOW,"O começo é muito interessante, pena que se perde no desenvolvimento de alguns personagens pouco importantes, se recupera principalmente no último episódio. Pena que a história acaba no momento mais interessante até então",0,0,1,default,0,896.0,TV,7.79,897.0,2275.0,"Jul 4, 2021 to Sep 26, 2021",['Pine Jam'],13.0,['Drama'],"['Performing Arts', 'School']",Seinen
23569,Kagirinaki Rakuen,Movie,1,0,1,2023-10-05,2023-10-05,,5,,0,Completed,,0,,LOW,"O fato desse filme não estar completamente perdido é realmente um milagre por si só, e honestamente é visível a paixão do Hiroshi Harada pela sua arte. Mas ainda estamos falando de uma produção amadora de um garoto do ensino médio no começo dos ",0,0,1,default,0,,,,,,,,,,,
16664,Kaguya-hime no Monogatari,Movie,1,0,1,2022-01-28,2022-01-29,,10,,0,Completed,,0,,LOW,"💎: Tudo é lindo, e te faz sentir um mix de emoções",0,0,1,default,0,314.0,Movie,8.21,315.0,1004.0,"Nov 23, 2013",['Studio Ghibli'],1.0,['Fantasy'],['Historical'],
52198,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,1,0,1,2023-11-22,2023-11-22,,9,,0,Completed,,0,,LOW,"🥉🥇:  Posterguei muito para assistir, principalmente considerando o desastre que foi Oshi no Ko, mas acabei recebendo o ABSOLUTO CINEMA! Não me arrependo de nada!",0,0,1,default,0,,,,,,,,,,,
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12,0,12,0000-00-00,0000-00-00,,9,,0,Completed,,0,,LOW,💎: Um humor exagerado que aposta na dicotomia e acerta em cheio,0,0,1,default,0,165.0,TV,8.4,166.0,64.0,"Jan 12, 2019 to Mar 30, 2019",['A-1 Pictures'],12.0,['Comedy'],"['Psychological', 'Romantic Subtext', 'School']",Seinen
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13,0,13,2022-04-03,2022-06-24,,10,,0,Completed,,0,,LOW,🥈🥉: Perfeição.mkv,0,0,1,default,0,12.0,TV,8.97,13.0,433.0,"Apr 9, 2022 to ?",['A-1 Pictures'],0.0,['Comedy'],"['Psychological', 'Romantic Subtext', 'School']",Seinen
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,12,0,12,0000-00-00,2022-01-02,,9,,0,Completed,,0,,LOW,🥇🥉: Explora ainda melhor seus personagens e mantem as outras valências,0,0,1,default,0,64.0,TV,8.65,65.0,107.0,"Apr 11, 2020 to Jun 27, 2020",['A-1 Pictures'],12.0,['Comedy'],"['Psychological', 'Romantic Subtext', 'School']",Seinen
40750,Kaifuku Jutsushi no Yarinaoshi,TV,12,0,12,0000-00-00,0000-00-00,,1,,0,Completed,,0,,LOW,"Um desrespeito ao espectador,que é tratado como um completo imbecil",0,0,1,default,0,,,,,,,,,,,
52588,Kaijuu 8-gou,TV,12,0,12,2024-04-13,2024-07-10,,8,,0,Completed,,0,,LOW,"🥈: Tirando a lerdeza inicial, Kaiju é tudo que eu esperava, sempre ouvi falar muito bem do mangá, e foi gratificante ver que ele realmente provou ser uma obra de valor, no aguardo da S2.",0,0,1,default,0,,,,,,,,,,,
